theta_frac_pi,w,seed,best_cost,wall_time_s
0.12,0.7,4,54968.140625,0.5540973809547722
0.12,0.8,0,539806.4375,0.5591672202572227
0.12,0.8,1,501274.1875,0.5547995981760323
0.12,0.8,2,531605.0,0.552868421189487
0.12,0.8,3,852078.375,0.5513971038162708
0.12,0.8,4,565371.0625,0.5513131548650563
0.12,0.9,0,844160.1875,0.5457090218551457
0.12,0.9,1,1081241.375,0.5454127578996122
0.12,0.9,2,1093031.125,0.5502461493015289
0.12,0.9,3,1270562.0,0.5444734999909997
0.12,0.9,4,1030452.8125,0.5512745548039675
0.2,0.4,0,49309.515625,0.5583056262694299
0.2,0.4,1,57207.96875,0.5580758401192725
0.2,0.4,2,58830.86328125,0.5565605526790023
0.2,0.4,3,53265.17578125,0.5577561538666487
0.2,0.4,4,52543.671875,0.5556418648920953
0.2,0.5,0,50473.37109375,0.5557603486813605
0.2,0.5,1,58661.734375,0.5609547048807144
0.2,0.5,2,58008.09375,0.5579800801351666
0.2,0.5,3,52585.81640625,0.5586881143972278
0.2,0.5,4,52829.4765625,0.5573775521479547
0.2,0.6,0,48411.13671875,0.5563187110237777
0.2,0.6,1,57556.13671875,0.5551812811754644
0.2,0.6,2,58879.4140625,0.5547104859724641
0.2,0.6,3,52438.80859375,0.5572956530377269
0.2,0.6,4,52942.5625,0.5545983677729964
0.2,0.7,0,50905.5,0.5561035159043968
0.2,0.7,1,58643.3046875,0.5496917557902634
0.2,0.7,2,57498.05859375,0.5546906781382859
0.2,0.7,3,55784.72265625,0.5517413839697838
0.2,0.7,4,57505.4296875,0.5508090052753687
0.2,0.8,0,704393.25,0.5488606719300151
0.2,0.8,1,491986.375,0.5519249141216278
0.2,0.8,2,538007.0,0.5513224550522864
0.2,0.8,3,889066.625,0.55062942719087
0.2,0.8,4,607919.0625,0.5561078214086592
0.2,0.9,0,844160.1875,0.5457976912148297
0.2,0.9,1,1081241.375,0.5473318598233163
0.2,0.9,2,1093031.125,0.5482849730178714
0.2,0.9,3,1270562.0,0.5481224651448429
0.2,0.9,4,1030452.8125,0.5491231409832835
